sim	toetseenheid	functie	toetshoogte	volume	oppervlakte	percentage
2	1947	grasland	1.32	0	0	0
2	1947	akkerbouw	1.5	0	0	0
2	1947	hoogwaardig	1.83	0	0	0
2	1947	stedelijk	0	0	0	0
2	1961	grasland	1.08	2407.73	25900	56.64
2	1961	akkerbouw	0	0	0	0
2	1961	hoogwaardig	0	0	0	0
2	1961	stedelijk	0	0	0	0
2	1123	grasland	1.58	0	0	0
2	1123	akkerbouw	1.8	0	0	0
2	1123	hoogwaardig	1.69	0	0	0
2	1123	stedelijk	0	0	0	0
2	1949	grasland	1.13	11197.33	160575	28.66
2	1949	akkerbouw	1.84	0	0	0
2	1949	hoogwaardig	0.94	155.6	2725	8.57
2	1949	stedelijk	0	0	0	0
2	1109	grasland	1.07	486303.74	1384275	89.04
2	1109	akkerbouw	1.23	172.25	475	76
2	1109	hoogwaardig	1.09	21415.22	145475	51.36
2	1109	stedelijk	0.9	75.48	175	87.5
2	1948	grasland	1.17	3471.42	51025	11.96
2	1948	akkerbouw	0	0	0	0
2	1948	hoogwaardig	1.05	0	0	0
2	1948	stedelijk	0	0	0	0
2	1107	grasland	1.39	35681.67	216575	39.28
2	1107	akkerbouw	1.78	0	0	0
2	1107	hoogwaardig	1.71	0	0	0
2	1107	stedelijk	1.38	0	0	0
2	1950	grasland	0.99	28375.49	241575	59.3
2	1950	akkerbouw	1.15	54.56	275	68.75
2	1950	hoogwaardig	0.45	965.75	7500	18.65
2	1950	stedelijk	0.99	18.33	75	37.5
2	671	grasland	0.94	3894.69	17675	63.87
2	671	akkerbouw	1.26	5.17	25	33.33
2	671	hoogwaardig	0.96	64.42	125	1.93
2	671	stedelijk	1.97	0	0	0
2	1099	grasland	0	0	0	0
2	1099	akkerbouw	0	0	0	0
2	1099	hoogwaardig	0.46	371.37	1800	6.98
2	1099	stedelijk	0	0	0	0
2	1835	grasland	1.11	8017.28	86375	33.24
2	1835	akkerbouw	1.68	0	0	0
2	1835	hoogwaardig	1.14	0	0	0
2	1835	stedelijk	0	0	0	0
2	1951	grasland	1.01	9465.24	82175	49.22
2	1951	akkerbouw	1.11	9.05	25	50
2	1951	hoogwaardig	1.04	3.66	100	1.13
2	1951	stedelijk	1.49	0	0	0
2	1836	grasland	1.05	28328.74	231450	36.56
2	1836	akkerbouw	1.13	9.9	50	66.67
2	1836	hoogwaardig	1.21	0	0	0
2	1836	stedelijk	1.57	0	0	0
2	1992	grasland	0	0	0	0
2	1992	akkerbouw	0	0	0	0
2	1992	hoogwaardig	1.31	0	0	0
2	1992	stedelijk	0	0	0	0
2	1106	grasland	1.37	5430.66	37100	33.3
2	1106	akkerbouw	0	0	0	0
2	1106	hoogwaardig	2.11	0	0	0
2	1106	stedelijk	0	0	0	0
2	1976	grasland	0	0	0	0
2	1976	akkerbouw	0	0	0	0
2	1976	hoogwaardig	2.19	0	0	0
2	1976	stedelijk	0	0	0	0
2	1838	grasland	1.03	34137.35	231575	48.31
2	1838	akkerbouw	1.38	5.15	50	100
2	1838	hoogwaardig	1.26	0	0	0
2	1838	stedelijk	0	0	0	0
2	1105	grasland	1.06	54218.91	456525	30.2
2	1105	akkerbouw	0.9	23.04	75	30
2	1105	hoogwaardig	1.25	0	0	0
2	1105	stedelijk	1.44	0.94	50	22.22
2	1974	grasland	0	0	0	0
2	1974	akkerbouw	0	0	0	0
2	1974	hoogwaardig	0	0	0	0
2	1974	stedelijk	0	0	0	0
2	1939	grasland	1.01	36296.5	254650	67.25
2	1939	akkerbouw	0	0	0	0
2	1939	hoogwaardig	1.3	0	0	0
2	1939	stedelijk	0	0	0	0
2	1104	grasland	1.16	1845.54	27950	18.63
2	1104	akkerbouw	0	0	0	0
2	1104	hoogwaardig	2.04	0	0	0
2	1104	stedelijk	0	0	0	0
2	1102	grasland	1.4	0	0	0
2	1102	akkerbouw	1.59	0	0	0
2	1102	hoogwaardig	2.09	0	0	0
2	1102	stedelijk	0	0	0	0
2	1108	grasland	1.12	15566.84	198475	35.67
2	1108	akkerbouw	1.7	0	0	0
2	1108	hoogwaardig	2.24	0	0	0
